1234567

VSSP2P0 	<vbhaver><prs><p2><pl>
VSSP2S0 	<vbhaver><prs><p2><sg>
VSSP3P0 	<vbhaver><prs><p3><pl>
VSSP3S0 	<vbhaver><prs><p3><sg>
VMIC1P0 	<vblex><cni><p1><pl>
VMIC1S0 	<vblex><cni><p1><sg>
VMIC2P0 	<vblex><cni><p2><pl>
VMIC2S0 	<vblex><cni><p2><sg>
VMIC3P0 	<vblex><cni><p3><pl>
VMIC3S0 	<vblex><cni><p3><sg>
VMIF1P0 	<vblex><fti><p1><pl>
VMIF1S0 	<vblex><fti><p1><sg>
VMIF2P0 	<vblex><fti><p2><pl>
VMIF2S0 	<vblex><fti><p2><sg>
VMIF3P0 	<vblex><fti><p3><pl>
VMIF3S0 	<vblex><fti><p3><sg>
VMSF1P0 	<vblex><fts><p1><pl>
VMSF1S0 	<vblex><fts><p1><sg>
VMSF2P0 	<vblex><fts><p2><pl>
VMSF2S0 	<vblex><fts><p2><sg>
VMSF3P0 	<vblex><fts><p3><pl>
VMSF3S0 	<vblex><fts><p3><sg>
VMG0000 	<vblex><ger>
VMIS1P0 	<vblex><ifi><p1><pl>
VMIS1S0 	<vblex><ifi><p1><sg>
VMIS2P0 	<vblex><ifi><p2><pl>
VMIS2S0 	<vblex><ifi><p2><sg>
VMIS3P0 	<vblex><ifi><p3><pl>
VMIS3S0 	<vblex><ifi><p3><sg>
VMM01P0 	<vblex><imp><p1><pl>
VMM02P0 	<vblex><imp><p2><pl>
VMM02S0 	<vblex><imp><p2><sg>
VMM03P0 	<vblex><imp><p3><pl>
VMM03S0 	<vblex><imp><p3><sg>
VMN0000 	<vblex><inf>
VMII1P0 	<vblex><pii><p1><pl>
VMII1S0 	<vblex><pii><p1><sg>
VMII2P0 	<vblex><pii><p2><pl>
VMII2S0 	<vblex><pii><p2><sg>
VMII3P0 	<vblex><pii><p3><pl>
VMII3S0 	<vblex><pii><p3><sg>
VMSI1P0 	<vblex><pis><p1><pl>
VMSI1S0 	<vblex><pis><p1><sg>
VMSI2P0 	<vblex><pis><p2><pl>
VMSI2S0 	<vblex><pis><p2><sg>
VMSI3P0 	<vblex><pis><p3><pl>
VMSI3S0 	<vblex><pis><p3><sg>
VMP00PF 	<vblex><pp><f><pl>
VMP00SF 	<vblex><pp><f><sg>
VMP00PM 	<vblex><pp><m><pl>
VMP00SM 	<vblex><pp><m><sg>
VMIP1P0 	<vblex><pri><p1><pl>
VMIP1S0 	<vblex><pri><p1><sg>
VMIP2P0 	<vblex><pri><p2><pl>
VMIP2S0 	<vblex><pri><p2><sg>
VMIP3P0 	<vblex><pri><p3><pl>
VMIP3S0 	<vblex><pri><p3><sg>
VMSP1P0 	<vblex><prs><p1><pl>
VMSP1S0 	<vblex><prs><p1><sg>
VMSP2P0 	<vblex><prs><p2><pl>
VMSP2S0 	<vblex><prs><p2><sg>
VMSP3P0 	<vblex><prs><p3><pl>
VMSP3S0 	<vblex><prs><p3><sg>
VAIC1P0 	<vbmod><cni><p1><pl>
VAIC1S0 	<vbmod><cni><p1><sg>
VAIC2P0 	<vbmod><cni><p2><pl>
VAIC2S0 	<vbmod><cni><p2><sg>
VAIC3P0 	<vbmod><cni><p3><pl>
VAIC3S0 	<vbmod><cni><p3><sg>
VAIF1P0 	<vbmod><fti><p1><pl>
VAIF1S0 	<vbmod><fti><p1><sg>
VAIF2P0 	<vbmod><fti><p2><pl>
VAIF2S0 	<vbmod><fti><p2><sg>
VAIF3P0 	<vbmod><fti><p3><pl>
VAIF3S0 	<vbmod><fti><p3><sg>
VASF1P0 	<vbmod><fts><p1><pl>
VASF1S0 	<vbmod><fts><p1><sg>
VASF2P0 	<vbmod><fts><p2><pl>
VASF2S0 	<vbmod><fts><p2><sg>
VASF3P0 	<vbmod><fts><p3><pl>
VASF3S0 	<vbmod><fts><p3><sg>
VAG0000 	<vbmod><ger>
VAIS1P0 	<vbmod><ifi><p1><pl>
VAIS1S0 	<vbmod><ifi><p1><sg>
VAIS2P0 	<vbmod><ifi><p2><pl>
VAIS2S0 	<vbmod><ifi><p2><sg>
VAIS3P0 	<vbmod><ifi><p3><pl>
VAIS3S0 	<vbmod><ifi><p3><sg>
VAM01P0 	<vbmod><imp><p1><pl>
VAM02P0 	<vbmod><imp><p2><pl>
VAM02S0 	<vbmod><imp><p2><sg>
VAM03P0 	<vbmod><imp><p3><pl>
VAM03S0 	<vbmod><imp><p3><sg>
VAN0000 	<vbmod><inf>
VAII1P0 	<vbmod><pii><p1><pl>
VAII1S0 	<vbmod><pii><p1><sg>
VAII2P0 	<vbmod><pii><p2><pl>
VAII2S0 	<vbmod><pii><p2><sg>
VAII3P0 	<vbmod><pii><p3><pl>
VAII3S0 	<vbmod><pii><p3><sg>
VASI1P0 	<vbmod><pis><p1><pl>
VASI1S0 	<vbmod><pis><p1><sg>
VASI2P0 	<vbmod><pis><p2><pl>
VASI2S0 	<vbmod><pis><p2><sg>
VASI3P0 	<vbmod><pis><p3><pl>
VASI3S0 	<vbmod><pis><p3><sg>
VAP00PF 	<vbmod><pp><f><pl>
VAP00SF 	<vbmod><pp><f><sg>
VAP00PM 	<vbmod><pp><m><pl>
VAP00SM 	<vbmod><pp><m><sg>
VAIP1P0 	<vbmod><pri><p1><pl>
VAIP1S0 	<vbmod><pri><p1><sg>
VAIP2P0 	<vbmod><pri><p2><pl>
VAIP2S0 	<vbmod><pri><p2><sg>
VAIP3P0 	<vbmod><pri><p3><pl>
VAIP3S0 	<vbmod><pri><p3><sg>
VASP1P0 	<vbmod><prs><p1><pl>
VASP1S0 	<vbmod><prs><p1><sg>
VASP2P0 	<vbmod><prs><p2><pl>
VASP2S0 	<vbmod><prs><p2><sg>
VASP3P0 	<vbmod><prs><p3><pl>
VASP3S0 	<vbmod><prs><p3><sg>
VSIC1P0 	<vbser><cni><p1><pl>
VSIC1S0 	<vbser><cni><p1><sg>
VSIC2P0 	<vbser><cni><p2><pl>
VSIC2S0 	<vbser><cni><p2><sg>
VSIC3P0 	<vbser><cni><p3><pl>
VSIC3S0 	<vbser><cni><p3><sg>
VSIF1P0 	<vbser><fti><p1><pl>
VSIF1S0 	<vbser><fti><p1><sg>
VSIF2P0 	<vbser><fti><p2><pl>
VSIF2S0 	<vbser><fti><p2><sg>
VSIF3P0 	<vbser><fti><p3><pl>
VSIF3S0 	<vbser><fti><p3><sg>
VSSF1P0 	<vbser><fts><p1><pl>
VSSF1S0 	<vbser><fts><p1><sg>
VSSF2P0 	<vbser><fts><p2><pl>
VSSF2S0 	<vbser><fts><p2><sg>
VSSF3P0 	<vbser><fts><p3><pl>
VSSF3S0 	<vbser><fts><p3><sg>
VSG0000 	<vbser><ger>
VSIS1P0 	<vbser><ifi><p1><pl>
VSIS1S0 	<vbser><ifi><p1><sg>
VSIS2P0 	<vbser><ifi><p2><pl>
VSIS2S0 	<vbser><ifi><p2><sg>
VSIS3P0 	<vbser><ifi><p3><pl>
VSIS3S0 	<vbser><ifi><p3><sg>
VSM01P0 	<vbser><imp><p1><pl>
VSM02P0 	<vbser><imp><p2><pl>
